,NeuralAgentOpMe_Student24_200cAgent_rng,Student24_200cAgent
0,0.985,1.06
1,0.755,1.98
2,0.735,2.06
3,0.74,2.04
4,0.735,2.06
5,0.775,1.9
6,0.715,2.14
7,0.73,2.08
8,0.76,1.96
9,0.71,2.16
10,0.715,2.14
11,0.71,2.16
12,0.74,2.04
13,0.745,2.02
14,0.8,1.8
15,0.82,1.72
16,0.83,1.755
17,0.805,1.78
18,0.835,1.66
19,0.84,1.64
20,0.855,1.58
21,0.855,1.58
22,0.845,1.62
23,0.825,1.7
24,0.85,1.6
25,0.88,1.48
26,0.88,1.48
27,0.875,1.5
28,0.865,1.54
29,0.88,1.48
30,0.885,1.46
31,0.88,1.48
32,0.9,1.4
33,0.9,1.4
34,0.895,1.42
35,0.895,1.42
36,0.89,1.44
37,0.885,1.46
38,0.905,1.38
39,0.915,1.34
40,0.915,1.34
41,0.9,1.4
42,0.92,1.32
43,0.905,1.38
44,0.915,1.34
45,0.93,1.28
46,0.915,1.34
47,0.92,1.32
48,0.925,1.3
49,0.935,1.26
50,0.91,1.36
51,0.935,1.26
52,0.93,1.28
53,0.925,1.3
54,0.93,1.28
55,0.94,1.24
56,0.945,1.22
57,0.95,1.2
58,0.94,1.24
59,0.955,1.18
60,0.945,1.22
61,0.955,1.18
62,0.955,1.18
63,0.945,1.22
64,0.97,1.12
65,0.975,1.1
66,0.945,1.22
67,0.945,1.22
68,0.975,1.1
69,0.985,1.06
70,0.97,1.12
71,0.98,1.08
72,0.955,1.18
73,0.96,1.16
74,0.97,1.12
75,0.965,1.14
76,0.975,1.1
77,0.97,1.12
78,0.965,1.14
79,0.965,1.14
80,0.98,1.08
81,0.945,1.22
82,0.985,1.06
83,0.975,1.1
84,0.96,1.16
85,0.985,1.06
86,0.985,1.06
87,0.97,1.12
88,0.985,1.06
89,0.975,1.1
90,0.97,1.12
91,0.98,1.08
92,0.98,1.08
93,0.985,1.06
94,0.965,1.14
95,0.975,1.1
96,0.995,1.02
97,0.97,1.12
98,0.995,1.02
99,0.985,1.06
100,0.985,1.06
101,0.98,1.08
102,0.99,1.04
103,1.0,1.0
104,0.98,1.08
105,0.98,1.08
106,0.98,1.08
107,0.97,1.12
108,0.975,1.1
109,0.98,1.08
110,0.975,1.1
111,0.975,1.1
112,0.965,1.14
113,0.975,1.1
114,0.97,1.12
115,0.965,1.14
116,0.985,1.06
117,0.985,1.06
118,0.99,1.04
119,0.975,1.1
120,0.98,1.08
121,0.97,1.12
122,0.97,1.12
123,0.965,1.14
124,0.985,1.06
125,0.965,1.14
126,0.96,1.16
127,0.975,1.1
128,0.985,1.06
129,0.98,1.08
130,0.95,1.2
131,0.955,1.18
132,0.965,1.14
133,0.99,1.04
134,0.96,1.16
135,0.975,1.1
136,0.985,1.06
137,0.95,1.2
138,0.98,1.08
139,0.925,1.3
140,0.925,1.3
141,0.94,1.24
142,0.935,1.26
143,0.94,1.24
144,0.94,1.24
145,0.925,1.3
146,0.925,1.3
147,0.955,1.18
148,0.96,1.16
149,0.965,1.14
150,0.97,1.12
151,0.91,1.36
152,0.785,1.86
153,0.8,1.875
154,0.83,1.68
155,0.535,2.86
156,0.62,2.52
157,0.73,2.08
158,0.87,1.52
159,0.7,2.2
160,0.895,1.42
161,0.73,2.08
162,0.94,1.24
163,0.79,1.84
164,0.835,1.66
165,0.895,1.495
166,0.77,1.92
167,0.825,1.7
168,0.795,1.82
169,0.66,2.36
170,0.895,1.42
171,0.775,1.9
172,0.91,1.36
173,0.9,1.4
174,0.625,2.5
175,0.745,2.02
176,0.64,2.44
177,0.825,1.7
178,0.655,2.38
179,0.97,1.12
180,0.74,2.04
181,0.515,2.94
182,0.46,3.16
183,0.86,1.56
184,0.955,1.18
185,0.88,1.48
186,0.995,1.02
187,0.975,1.1
188,0.825,1.7
189,0.97,1.12
190,0.925,1.3
191,0.965,1.14
192,0.93,1.28
193,0.955,1.18
194,0.985,1.06
195,0.775,1.9
196,0.77,1.92
197,0.61,2.56
198,0.72,2.12
199,0.645,2.42
200,0.935,1.26
201,0.59,2.64
202,0.88,1.48
203,0.46,3.16
204,0.44,3.24
205,0.46,3.16
206,0.43,3.28
207,0.975,1.225
208,0.915,1.34
209,0.47,3.12
210,0.505,2.98
211,0.48,3.08
212,0.475,3.1
213,0.69,2.24
214,0.475,3.1
215,0.465,3.14
216,0.51,2.96
217,0.47,3.12
218,0.46,3.16
219,0.445,3.22
220,0.445,3.22
221,0.515,2.94
222,0.43,3.28
223,0.47,3.12
224,0.405,3.38
225,0.435,3.26
226,0.78,1.88
227,0.52,2.92
228,0.44,3.24
229,0.465,3.14
230,0.485,3.06
231,0.5,3.0
232,0.895,1.42
233,0.475,3.1
234,0.5,3.0
235,0.53,2.88
236,0.455,3.18
237,0.485,3.06
238,0.54,2.84
239,0.475,3.1
240,0.435,3.26
241,0.495,3.02
242,1.11,1.135
243,0.53,2.88
244,0.47,3.12
245,0.51,2.96
246,0.47,3.12
247,0.485,3.06
248,0.58,2.68
249,0.485,3.06
250,0.52,2.92
251,0.485,3.06
252,0.465,3.14
253,0.53,2.88
254,0.535,2.86
255,0.51,2.96
256,0.5,3.0
257,0.445,3.22
258,0.72,2.12
259,0.94,1.24
260,0.485,3.06
261,0.495,3.02
262,0.535,2.86
263,0.465,3.265
264,0.42,3.32
265,0.475,3.1
266,0.39,3.44
267,0.48,3.08
268,0.455,3.18
269,0.465,3.14
270,0.49,3.04
271,0.68,2.28
272,0.47,3.12
273,0.735,2.06
274,0.53,2.88
275,0.475,3.1
276,0.76,2.035
277,0.535,2.86
278,0.47,3.12
279,0.44,3.24
280,0.62,2.52
281,0.49,3.04
282,0.465,3.14
283,0.49,3.04
284,0.485,3.06
285,0.48,3.08
286,0.76,1.96
287,0.485,3.06
288,0.845,1.62
289,0.515,2.94
290,0.865,1.54
291,0.535,2.86
292,0.555,2.78
293,0.55,2.8
294,0.895,1.42
295,0.85,1.6
296,0.52,2.92
297,0.975,1.175
298,0.49,3.04
299,0.51,2.96
300,0.44,3.24
301,0.485,3.06
302,0.935,1.26
303,0.485,3.06
304,0.485,3.06
305,0.505,2.98
306,0.61,2.56
307,0.55,2.8
308,0.52,2.995
309,0.485,3.185
310,0.515,2.94
311,0.455,3.18
312,0.49,3.04
313,0.545,2.82
314,0.495,3.02
315,0.49,3.04
316,0.495,3.02
317,0.515,2.94
318,0.47,3.12
319,0.46,3.16
320,0.525,2.9
321,0.49,3.04
322,0.43,3.28
323,0.46,3.16
324,0.5,3.0
325,0.52,2.92
326,0.55,2.8
327,0.58,2.68
328,0.49,3.04
329,0.485,3.06
330,0.485,3.06
331,0.43,3.28
332,0.455,3.18
333,0.685,2.26
334,0.625,2.5
335,0.505,2.98
336,0.485,3.06
337,0.505,2.98
338,0.555,2.78
339,0.915,1.34
340,0.45,3.2
341,0.63,2.48
342,0.5,3.0
343,0.54,2.84
344,0.665,2.34
345,0.705,2.18
346,0.495,3.02
347,0.475,3.1
348,0.495,3.02
349,0.53,2.88
350,0.61,2.56
351,0.97,1.12
352,0.555,2.78
353,0.525,2.9
354,0.54,2.84
355,0.515,2.94
356,0.545,2.82
357,0.545,2.82
358,0.795,1.82
359,0.735,2.06
360,0.665,2.34
361,0.53,2.88
362,0.51,2.96
363,0.585,2.66
364,0.435,3.26
365,0.54,2.84
366,0.81,1.76
367,0.665,2.34
368,0.545,2.82
369,0.61,2.56
370,0.685,2.26
371,0.99,1.04
372,0.825,1.7
373,0.53,2.955
374,1.0,1.0
375,0.57,2.72
376,0.505,2.98
377,0.52,2.92
378,0.78,1.88
379,0.855,1.58
380,0.98,1.08
381,0.54,2.84
382,0.92,1.32
383,0.79,1.84
384,0.59,2.64
385,0.535,2.86
386,0.505,2.98
387,0.485,3.06
388,0.575,2.7
389,0.49,3.04
390,0.84,1.64
391,0.71,2.16
392,0.845,1.62
393,0.705,2.18
394,0.895,1.42
395,0.65,2.4
396,0.515,2.94
397,0.49,3.04
398,0.455,3.18
399,0.605,2.58
400,0.79,1.84
401,0.95,1.2
402,0.445,3.22
403,0.735,2.06
404,0.585,2.66
405,0.645,2.42
406,0.56,2.76
407,0.52,2.92
408,0.68,2.28
409,0.545,2.82
410,0.79,1.84
411,0.575,2.7
412,0.895,1.42
413,0.575,2.7
414,0.51,2.96
415,0.52,2.92
416,0.54,2.84
417,0.665,2.34
418,0.525,2.9
419,0.56,2.76
420,0.47,3.12
421,0.44,3.24
422,0.525,2.9
423,0.55,2.8
424,0.475,3.1
425,0.57,2.72
426,0.79,1.84
427,0.545,2.82
428,0.975,1.1
429,0.54,2.84
430,0.565,2.74
431,0.54,2.84
432,0.81,1.76
433,0.485,3.06
434,0.53,2.955
435,0.7,2.2
436,0.575,2.7
437,1.0,1.0
438,0.57,2.72
439,0.815,1.74
440,1.0,1.0
441,0.83,1.68
442,0.85,1.6
443,0.535,2.86
444,0.575,2.7
445,0.525,2.9
446,1.0,1.0
447,0.59,2.64
448,0.725,2.1
449,0.59,2.64
450,0.89,1.44
451,0.56,2.76
452,0.845,1.62
453,0.5,3.0
454,0.485,3.185
455,0.465,3.14
456,0.475,3.1
457,0.44,3.24
458,0.4,3.4
459,0.79,1.84
460,0.505,2.98
461,0.455,3.18
462,0.39,3.44
463,1.0,1.0
464,0.485,3.06
465,0.405,3.38
466,0.975,1.1
467,0.61,2.56
468,0.84,1.64
469,0.905,1.38
470,0.47,3.12
471,0.905,1.38
472,0.51,2.96
473,0.755,1.98
474,0.57,2.72
475,0.475,3.1
476,0.64,2.44
477,0.515,2.94
478,0.55,2.875
479,0.515,2.94
480,0.48,3.08
481,0.55,2.8
482,0.475,3.1
483,0.525,2.9
484,0.775,1.9
485,0.525,2.9
486,0.425,3.3
487,0.52,2.92
488,0.66,2.36
489,0.535,2.86
490,0.745,2.02
491,0.495,3.02
492,0.76,1.96
493,0.57,2.72
494,0.49,3.04
495,0.825,1.7
496,0.825,1.7
497,0.42,3.32
498,0.505,2.98
499,0.455,3.18
500,0.69,2.24
501,0.535,2.86
502,0.76,1.96
503,0.52,2.92
504,0.53,2.88
505,0.44,3.24
506,0.425,3.3
507,0.5,3.0
508,0.485,3.06
509,0.39,3.44
510,0.96,1.16
511,0.51,2.96
512,0.545,2.82
513,0.465,3.14
514,0.555,2.78
515,0.515,2.94
516,0.465,3.14
517,0.52,2.92
518,0.45,3.2
519,0.64,2.44
520,0.435,3.26
521,0.61,2.56
522,0.515,2.94
523,0.415,3.34
524,0.49,3.04
525,0.44,3.24
526,0.43,3.28
527,0.63,2.48
528,0.44,3.24
529,1.045,1.12
530,0.98,1.08
531,0.63,2.48
532,0.86,1.56
533,0.955,1.18
534,0.825,1.7
535,0.855,1.58
536,0.54,2.84
537,0.72,2.12
538,0.445,3.22
539,0.565,2.74
540,0.915,1.34
541,0.955,1.18
542,0.83,1.68
543,0.66,2.36
544,0.79,1.84
545,0.405,3.38
546,0.485,3.06
547,0.59,2.64
548,0.44,3.24
549,0.4,3.4
550,0.45,3.2
551,0.475,3.1
552,0.45,3.2
553,0.455,3.18
554,0.43,3.28
555,0.41,3.36
556,0.81,1.76
557,0.43,3.28
558,0.39,3.44
559,0.435,3.26
560,0.46,3.16
561,0.665,2.34
562,0.525,2.9
563,0.65,2.4
564,0.765,1.94
565,0.915,1.34
566,0.905,1.38
567,0.49,3.04
568,0.915,1.34
569,0.51,2.96
570,0.555,2.78
571,0.615,2.54
572,0.83,1.68
573,0.965,1.14
574,0.52,2.92
575,0.485,3.06
576,0.975,1.1
577,0.44,3.24
578,0.66,2.36
579,0.78,1.88
580,0.485,3.06
581,0.71,2.16
582,0.525,2.9
583,0.43,3.28
584,0.95,1.275
585,0.44,3.24
586,0.6,2.6
587,0.92,1.32
588,0.41,3.36
589,0.945,1.22
590,0.465,3.14
591,0.46,3.16
592,0.905,1.38
593,0.77,1.92
594,0.5,3.0
595,0.83,1.68
596,0.465,3.14
597,0.505,2.98
598,1.0,1.0
599,0.535,2.86
600,0.92,1.32
601,0.655,2.38
602,0.855,1.58
603,0.995,1.02
604,0.61,2.56
605,0.86,1.56
606,0.485,3.06
607,0.905,1.38
608,0.73,2.08
609,0.975,1.1
610,0.725,2.1
611,0.545,2.82
612,0.925,1.3
613,0.535,2.86
614,0.855,1.655
615,0.715,2.14
616,0.47,3.12
617,0.73,2.08
618,0.9,1.4
619,0.5,3.0
620,0.555,2.78
621,0.46,3.16
622,0.95,1.2
623,0.705,2.18
624,0.63,2.48
625,0.62,2.52
626,0.785,1.86
627,0.905,1.38
628,0.945,1.22
629,0.785,1.86
630,0.865,1.54
631,0.53,2.88
632,0.96,1.16
633,1.0,1.0
634,1.0,1.0
635,0.835,1.66
636,0.44,3.24
637,0.46,3.16
638,0.995,1.02
639,0.92,1.32
640,0.97,1.12
641,0.695,2.22
642,0.845,1.62
643,0.52,2.92
644,0.52,2.92
645,0.63,2.48
646,0.64,2.44
647,0.515,2.94
648,0.545,2.82
649,0.74,2.04
650,0.775,1.9
651,0.93,1.28
652,0.925,1.3
653,0.61,2.56
654,0.675,2.3
655,0.89,1.44
656,0.53,2.88
657,0.74,2.04
658,0.52,2.92
659,0.515,2.94
660,0.78,1.88
661,0.975,1.1
662,0.925,1.3
663,0.47,3.12
664,0.45,3.2
665,0.485,3.06
666,0.45,3.2
667,0.985,1.06
668,0.485,3.06
669,0.53,2.88
670,0.46,3.16
671,1.055,1.18
672,0.425,3.3
673,0.98,1.08
674,0.455,3.18
675,0.81,1.76
676,0.475,3.1
677,0.735,2.135
678,0.42,3.32
679,0.535,2.86
680,0.49,3.04
681,1.095,1.195
682,0.525,2.9
683,0.49,3.04
684,0.45,3.2
685,0.56,2.76
686,1.0,1.0
687,0.46,3.16
