,NeuralAgentOpMe_Student1_200bAgent_rng,Student1_200bAgent
0,1.16,1.085
1,2.83,2.105
2,3.65,2.025
3,3.495,2.195
4,3.5,2.25
5,3.405,2.38
6,3.335,2.485
7,3.27,2.595
8,3.245,2.62
9,3.225,2.65
10,3.205,2.68
11,3.195,2.695
12,3.18,2.73
13,3.2,2.7
14,3.145,2.77
15,3.11,2.835
16,3.1,2.85
17,3.1,2.85
18,3.14,2.79
19,3.08,2.88
20,3.11,2.835
21,3.03,2.955
22,3.08,2.88
23,2.995,2.895
24,3.005,2.98
25,3.02,2.945
26,3.035,2.935
27,3.035,2.935
28,3.005,2.955
29,3.04,2.94
30,3.02,2.945
31,3.025,2.95
32,3.07,2.895
33,2.735,2.96
34,3.06,2.885
35,0.57,2.795
36,0.66,2.76
37,1.525,2.975
38,2.515,2.965
39,2.98,2.905
40,2.815,2.99
41,3.295,2.545
42,2.64,2.84
43,2.735,2.635
44,3.29,2.565
45,1.37,2.995
46,3.295,2.545
47,0.675,2.575
48,0.715,2.415
49,3.29,2.565
50,3.3,2.55
51,3.285,2.56
52,0.66,2.435
53,0.755,2.18
54,3.3,2.55
55,3.27,2.545
56,3.285,2.56
57,3.29,2.565
58,3.28,2.58
59,0.73,2.28
60,3.3,2.55
61,0.77,2.12
62,0.775,2.1
63,0.77,2.12
64,0.77,2.12
65,0.81,2.085
66,3.3,2.55
67,2.53,2.48
68,0.76,2.11
69,0.78,2.08
70,0.78,2.08
71,0.745,2.095
72,0.74,2.115
73,0.72,2.32
74,0.78,2.08
75,0.695,2.42
76,0.61,2.635
77,0.61,2.635
78,0.68,2.63
79,0.605,2.655
80,0.645,2.62
81,0.63,2.68
82,0.61,2.635
83,0.645,2.62
84,0.645,2.62
85,0.645,2.62
86,0.605,2.655
87,0.61,2.635
88,0.64,2.64
89,0.645,2.62
90,0.615,2.615
91,0.61,2.635
92,0.61,2.635
93,0.645,2.62
94,0.645,2.62
95,0.61,2.635
96,0.61,2.635
97,0.61,2.635
98,0.645,2.62
99,0.62,2.595
100,0.655,2.455
101,0.615,2.615
102,0.78,2.08
103,0.645,2.495
104,0.745,2.095
105,0.66,2.56
106,0.81,2.11
107,0.745,2.095
108,0.78,2.08
109,0.785,2.06
110,0.75,2.075
111,0.78,2.08
112,0.755,2.055
113,0.815,1.815
114,0.77,1.995
115,0.82,1.92
116,0.83,1.88
117,0.885,1.535
118,0.885,1.535
119,0.92,1.52
120,0.83,1.755
121,0.815,1.94
122,0.86,1.76
123,0.755,2.055
124,0.915,1.54
125,0.845,1.82
126,0.79,1.915
127,0.89,1.515
128,0.89,1.515
129,0.81,1.96
130,0.835,1.735
131,0.795,2.02
132,0.82,1.795
133,0.825,1.9
134,0.745,2.095
135,0.77,1.995
136,0.675,2.375
137,0.635,2.535
138,0.71,2.235
139,0.65,2.6
140,0.615,2.615
141,0.615,2.615
142,0.615,2.615
143,0.61,2.635
144,0.645,2.645
145,0.645,2.62
146,0.61,2.635
147,0.65,2.6
148,0.61,2.635
149,0.62,2.595
150,0.61,2.635
151,0.615,2.615
152,0.645,2.62
153,0.65,2.6
154,0.64,2.59
155,0.62,2.595
156,0.655,2.58
157,0.63,2.555
158,0.625,2.575
159,0.685,2.585
160,0.655,2.53
161,0.8,2.0
162,0.795,2.02
163,0.685,2.46
164,0.755,2.055
165,0.785,2.06
166,0.735,2.135
167,0.78,2.03
168,0.8,2.0
169,0.76,2.035
170,0.75,2.075
171,0.745,2.095
172,0.78,2.08
173,0.75,2.075
174,0.745,2.095
175,0.78,2.08
176,0.745,2.095
177,0.79,2.04
178,0.75,2.075
179,0.745,2.095
180,0.745,2.095
181,0.745,2.095
182,0.75,2.075
183,0.8,2.0
184,0.75,2.075
185,0.755,2.055
186,0.775,1.975
187,0.785,2.06
188,0.75,2.075
189,0.78,2.08
190,0.745,2.095
191,0.78,2.08
192,0.755,2.055
193,0.78,2.08
194,0.755,2.055
195,0.79,2.04
196,0.795,2.02
197,0.75,2.075
198,0.67,2.395
199,0.785,2.06
200,0.76,2.035
