,NeuralAgent_Student7_200mAgent_rng,Student7_200mAgent
0,0.87,1.67
1,0.73,2.305
2,0.71,2.31
3,0.7,2.825
4,0.65,2.625
5,0.535,3.035
6,2.84,2.365
7,0.585,3.01
8,0.48,3.23
9,2.94,2.39
10,2.105,2.68
11,2.865,2.565
12,2.965,2.365
13,2.63,2.505
14,3.15,2.35
15,1.255,3.08
16,3.01,2.51
17,3.075,2.525
18,0.62,2.745
19,0.64,2.59
20,2.965,2.565
21,0.69,2.44
22,3.01,2.435
23,3.055,2.505
24,0.765,2.14
25,0.72,2.32
26,3.04,2.49
27,0.81,2.285
28,3.165,2.515
29,3.295,2.445
30,0.75,2.15
31,0.775,2.075
32,3.17,2.42
33,0.755,2.205
34,0.745,2.22
35,3.07,2.42
36,0.71,2.36
37,3.18,2.455
38,0.65,2.575
39,0.61,2.735
40,3.38,2.43
41,3.345,2.42
42,0.535,3.085
43,0.5,3.175
44,3.34,2.49
45,3.07,2.62
46,3.28,2.48
47,3.38,2.43
48,0.46,3.335
49,0.46,3.335
50,3.33,2.505
51,1.14,3.14
52,0.48,3.305
53,3.38,2.43
54,3.24,2.64
55,3.29,2.465
56,0.46,3.36
57,0.475,3.3
58,3.38,2.43
59,3.39,2.415
60,0.48,3.255
61,0.48,3.255
62,0.485,3.285
63,0.505,3.205
64,0.48,3.255
65,3.39,2.39
66,0.485,3.285
67,0.205,4.33
68,0.1,4.775
69,0.08,4.88
70,0.49,3.215
71,0.17,4.545
72,0.185,4.46
73,0.31,3.935
74,0.2,4.35
75,0.36,3.71
76,0.51,3.11
77,0.36,3.735
78,0.39,3.64
79,0.35,3.8
80,0.815,1.94
81,0.41,3.535
82,0.155,4.58
83,0.23,4.28
84,0.22,4.27
85,0.38,3.68
86,0.595,2.77
87,0.425,3.45
88,0.525,3.05
89,0.135,4.66
90,0.475,3.25
91,0.2,4.4
92,0.195,4.42
93,0.34,3.84
94,0.14,4.59
95,0.26,4.11
96,0.545,2.97
97,0.54,3.04
98,0.825,1.85
99,0.875,1.65
100,1.05,1.0
101,1.04,0.99
102,0.095,4.77
103,1.04,0.99
104,0.465,3.34
105,0.71,2.31
106,1.04,0.99
107,0.38,3.68
108,0.75,2.2
109,0.59,2.79
110,1.04,0.99
111,1.04,0.99
112,0.445,3.42
113,0.975,1.25
114,1.05,1.0
115,0.77,2.07
116,0.13,4.63
117,1.05,1.0
118,0.12,4.67
119,0.175,4.45
120,0.465,3.34
121,1.05,1.0
122,0.465,3.29
123,0.105,4.755
124,1.04,0.99
125,1.05,1.0
126,0.945,1.37
