,NeuralAgent_Student24_200cAgent,Student24_200cAgent
0,0.985,1.06
1,0.455,3.18
2,0.49,3.04
3,0.5,3.0
4,0.49,3.04
5,0.475,3.1
6,0.595,2.62
7,0.48,3.08
8,0.56,2.76
9,0.535,2.86
10,0.57,2.72
11,0.475,3.1
12,0.51,2.96
13,0.56,2.76
14,0.56,2.76
15,0.465,3.14
16,0.495,3.02
17,0.45,3.2
18,0.55,2.8
19,0.515,2.94
20,0.49,3.04
21,0.47,3.12
22,0.515,2.94
23,0.465,3.14
24,0.545,2.82
25,0.475,3.1
26,0.565,2.74
27,0.565,2.74
28,0.555,2.78
29,0.525,2.9
30,0.54,2.84
31,0.555,2.78
32,0.52,2.92
33,0.545,2.82
34,0.6,2.6
35,0.6,2.6
36,0.565,2.74
37,0.57,2.72
38,0.485,3.06
39,0.595,2.62
40,0.52,2.995
41,0.53,2.88
42,0.53,2.88
43,0.575,2.7
44,0.575,2.7
45,0.495,3.02
46,0.52,2.92
47,0.55,2.8
48,0.545,2.82
49,0.48,3.08
50,0.535,2.86
51,0.555,2.855
52,0.545,2.82
53,0.61,2.56
54,0.58,2.68
55,0.57,2.845
56,0.53,2.955
57,0.54,2.84
58,0.585,2.66
59,0.535,2.86
60,0.54,2.84
61,0.5,3.0
62,0.565,2.74
63,0.6,2.6
64,0.55,2.8
65,0.595,2.62
66,0.55,2.8
67,0.555,2.78
68,0.545,2.82
69,0.615,2.54
70,0.605,2.58
71,0.575,2.7
72,0.59,2.64
73,0.6,2.6
74,0.575,2.7
75,0.585,2.66
76,0.58,2.68
77,0.59,2.64
78,0.58,2.68
79,0.59,2.64
80,0.55,2.8
81,0.585,2.66
82,0.615,2.54
83,0.6,2.6
84,0.58,2.68
85,0.595,2.62
86,0.62,2.52
87,0.66,2.36
88,0.65,2.4
89,0.605,2.58
90,0.61,2.56
91,0.53,2.88
92,0.615,2.54
93,0.625,2.5
94,0.635,2.46
95,0.58,2.68
96,0.605,2.58
97,0.655,2.38
98,0.635,2.46
99,0.625,2.5
100,0.63,2.48
101,0.54,2.84
102,0.57,2.72
103,0.705,2.18
104,0.635,2.46
105,0.58,2.68
106,0.685,2.26
107,0.645,2.42
108,0.6,2.6
109,0.65,2.4
110,0.6,2.6
111,0.66,2.36
112,0.665,2.34
113,0.61,2.56
114,0.7,2.2
115,0.685,2.26
116,0.62,2.52
117,0.635,2.46
118,0.645,2.42
119,0.69,2.24
120,0.68,2.28
121,0.675,2.3
122,0.725,2.1
123,0.645,2.42
124,0.65,2.4
125,0.615,2.54
126,0.64,2.44
127,0.67,2.32
128,0.67,2.32
129,0.665,2.34
130,0.765,1.94
131,0.725,2.1
132,0.665,2.34
133,0.67,2.32
134,0.68,2.28
135,0.695,2.22
136,0.715,2.14
137,0.645,2.42
138,0.71,2.16
139,0.655,2.38
140,0.745,2.02
141,0.715,2.14
142,0.705,2.18
143,0.765,1.94
144,0.685,2.26
145,0.7,2.2
146,0.705,2.18
147,0.72,2.12
148,0.695,2.22
149,0.69,2.24
150,0.765,1.94
151,0.725,2.1
152,0.785,1.86
153,0.725,2.1
154,0.73,2.08
155,0.78,1.88
156,0.69,2.24
157,0.745,2.02
158,0.725,2.1
159,0.69,2.24
160,0.725,2.1
161,0.705,2.18
162,0.715,2.14
163,0.77,1.92
164,0.74,2.04
165,0.75,2.0
166,0.73,2.08
167,0.685,2.26
168,0.755,1.98
169,0.765,1.94
170,0.77,1.92
171,0.74,2.04
172,0.715,2.14
173,0.775,1.9
174,0.75,2.0
175,0.755,1.98
176,0.81,1.76
177,0.73,2.08
178,0.72,2.12
179,0.795,1.82
180,0.805,1.78
181,0.775,1.9
182,0.83,1.68
183,0.765,1.94
184,0.78,1.88
185,0.765,1.94
186,0.705,2.18
187,0.775,1.9
188,0.79,1.84
189,0.765,1.94
190,0.815,1.74
191,0.74,2.04
192,0.77,1.92
193,0.795,1.82
194,0.79,1.84
195,0.765,1.94
196,0.815,1.74
197,0.835,1.66
198,0.825,1.7
199,0.79,1.84
200,0.8,1.8
201,0.815,1.74
202,0.82,1.72
203,0.815,1.74
204,0.8,1.8
205,0.785,1.86
206,0.775,1.975
207,0.845,1.62
208,0.8,1.8
209,0.8,1.8
210,0.86,1.56
211,0.805,1.78
212,0.765,1.94
213,0.875,1.5
214,0.805,1.78
215,0.82,1.72
216,0.855,1.58
217,0.82,1.72
218,0.815,1.74
219,0.79,1.84
220,0.885,1.46
221,0.815,1.74
222,0.87,1.52
223,0.865,1.54
224,0.795,1.82
225,0.84,1.64
226,0.845,1.62
227,0.83,1.68
228,0.875,1.5
229,0.885,1.46
230,0.85,1.6
231,0.86,1.56
232,0.885,1.46
233,0.845,1.62
234,0.84,1.64
235,0.885,1.46
236,0.82,1.72
237,0.86,1.56
238,0.84,1.64
239,0.89,1.44
240,0.855,1.58
241,0.87,1.52
242,0.87,1.52
243,0.855,1.58
244,0.86,1.56
245,0.895,1.42
246,0.875,1.5
247,0.9,1.4
