,NeuralAgent_Student24_200mAgent,Student24_200mAgent
0,4.94,0.065
1,3.91,1.61
2,3.995,1.495
3,3.955,1.555
4,3.915,1.615
5,3.905,1.63
6,3.785,1.81
7,4.05,1.4
8,3.86,1.685
9,3.955,1.555
10,3.895,1.645
11,4.02,1.445
12,3.995,1.495
13,3.9,1.625
14,3.915,1.615
15,4.075,1.375
16,4.01,1.46
17,4.085,1.36
18,3.855,1.705
19,3.98,1.505
20,4.005,1.48
21,4.05,1.4
22,3.98,1.505
23,4.035,1.435
24,3.895,1.645
25,4.045,1.42
26,3.875,1.675
27,3.915,1.615
28,3.875,1.675
29,3.94,1.565
30,3.91,1.61
31,3.86,1.685
32,3.97,1.52
33,3.875,1.675
34,3.775,1.825
35,3.82,1.745
36,3.86,1.685
37,3.855,1.705
38,4.015,1.465
39,3.74,1.865
40,3.945,1.57
41,3.92,1.595
42,3.925,1.6
43,3.835,1.735
44,3.87,1.67
45,3.995,1.495
46,3.945,1.57
47,3.875,1.675
48,3.915,1.615
49,4.025,1.45
50,3.945,1.57
51,3.895,1.645
52,3.89,1.64
53,3.81,1.76
54,3.865,1.69
55,3.93,1.58
56,3.925,1.6
57,3.92,1.595
58,3.815,1.765
59,3.895,1.645
60,3.895,1.645
61,4.02,1.445
62,3.845,1.72
63,3.795,1.795
64,3.885,1.66
65,3.805,1.78
66,3.9,1.625
67,3.87,1.67
68,3.915,1.615
69,3.74,1.865
70,3.79,1.79
71,3.855,1.705
72,3.8,1.775
73,3.795,1.795
74,3.835,1.735
75,3.805,1.78
76,3.79,1.79
77,3.785,1.81
78,3.83,1.73
79,3.815,1.765
80,3.885,1.66
81,3.82,1.745
82,3.755,1.855
83,3.785,1.81
84,3.825,1.75
85,3.815,1.765
86,3.735,1.885
87,3.685,1.96
88,3.68,1.955
89,3.765,1.84
90,3.765,1.84
91,3.925,1.6
92,3.75,1.85
93,3.73,1.88
94,3.715,1.915
95,3.8,1.775
96,3.775,1.825
97,3.69,1.94
98,3.695,1.945
99,3.745,1.87
100,3.725,1.9
101,3.905,1.63
102,3.845,1.72
103,3.565,2.14
104,3.705,1.93
105,3.815,1.765
106,3.605,2.08
107,3.675,1.975
108,3.79,1.79
109,3.7,1.925
110,3.78,1.805
111,3.665,1.99
112,3.64,2.015
113,3.765,1.84
114,3.59,2.09
115,3.61,2.06
116,3.755,1.855
117,3.695,1.945
118,3.715,1.915
119,3.605,2.08
120,3.635,2.035
121,3.61,2.06
122,3.505,2.23
123,3.725,1.9
124,3.665,1.99
125,3.76,1.835
126,3.705,1.93
127,3.615,2.065
128,3.665,1.99
129,3.645,2.02
130,3.455,2.305
131,3.53,2.18
132,3.615,2.065
133,3.585,2.11
134,3.6,2.075
135,3.595,2.095
136,3.515,2.215
137,3.675,1.975
138,3.515,2.215
139,3.625,2.05
140,3.475,2.275
141,3.51,2.21
142,3.565,2.14
143,3.42,2.345
144,3.595,2.095
145,3.535,2.185
146,3.575,2.125
147,3.525,2.2
148,3.585,2.11
149,3.575,2.125
150,3.415,2.365
151,3.495,2.245
152,3.365,2.44
153,3.515,2.215
154,3.52,2.195
155,3.415,2.365
156,3.565,2.14
157,3.465,2.29
158,3.525,2.2
159,3.555,2.155
160,3.535,2.185
161,3.545,2.17
162,3.505,2.23
163,3.405,2.38
164,3.415,2.365
165,3.46,2.285
166,3.485,2.26
167,3.545,2.17
168,3.455,2.305
169,3.445,2.32
170,3.405,2.38
171,3.455,2.305
172,3.515,2.215
173,3.41,2.36
174,3.415,2.365
175,3.395,2.395
176,3.325,2.5
177,3.475,2.275
178,3.465,2.29
179,3.35,2.45
180,3.3,2.525
181,3.395,2.395
182,3.315,2.515
183,3.455,2.305
184,3.37,2.42
185,3.435,2.335
186,3.505,2.23
187,3.415,2.365
188,3.375,2.425
189,3.375,2.425
190,3.325,2.5
191,3.46,2.285
192,3.415,2.365
193,3.355,2.455
194,3.375,2.425
195,3.375,2.425
196,3.33,2.48
197,3.245,2.62
198,3.295,2.545
199,3.345,2.47
200,3.37,2.42
201,3.29,2.54
202,3.245,2.62
203,3.305,2.53
204,3.34,2.465
205,3.425,2.35
206,3.35,2.45
207,3.255,2.605
208,3.335,2.485
209,3.365,2.44
210,3.265,2.59
211,3.335,2.485
212,3.385,2.41
213,3.235,2.635
214,3.355,2.455
215,3.315,2.515
216,3.23,2.63
217,3.295,2.545
218,3.295,2.545
219,3.355,2.455
220,3.185,2.71
221,3.345,2.47
222,3.235,2.635
223,3.235,2.635
224,3.335,2.485
225,3.245,2.62
226,3.265,2.59
227,3.265,2.59
228,3.245,2.62
229,3.175,2.725
230,3.235,2.635
231,3.195,2.695
232,3.155,2.755
233,3.265,2.59
234,3.255,2.605
235,3.165,2.74
236,3.285,2.56
237,3.215,2.665
238,3.225,2.65
239,3.14,2.765
240,3.195,2.695
241,3.205,2.68
242,3.195,2.695
243,3.195,2.695
244,3.235,2.635
245,3.155,2.755
246,3.215,2.665
247,3.15,2.75
248,3.185,2.71
249,3.225,2.65
250,3.305,2.53
251,3.165,2.74
252,3.105,2.83
253,3.235,2.635
254,3.175,2.725
255,3.145,2.77
256,3.145,2.77
257,3.12,2.795
258,3.175,2.725
259,3.155,2.755
260,3.195,2.695
261,3.165,2.74
262,3.185,2.71
263,3.165,2.74
264,3.155,2.755
265,3.135,2.785
266,3.135,2.785
267,3.185,2.71
268,3.18,2.705
269,3.115,2.815
270,3.165,2.74
271,3.145,2.77
272,3.115,2.815
273,3.165,2.74
274,3.1,2.825
275,3.135,2.785
276,3.175,2.725
277,3.145,2.77
278,3.165,2.74
279,3.105,2.83
280,3.105,2.83
281,3.105,2.83
282,3.155,2.755
283,3.135,2.785
284,3.155,2.755
285,3.135,2.785
286,3.155,2.755
287,3.095,2.845
288,3.075,2.875
289,3.165,2.74
290,3.095,2.845
291,3.095,2.845
292,3.115,2.815
293,3.135,2.785
294,3.105,2.83
295,3.115,2.815
296,3.035,2.935
297,3.095,2.845
298,3.155,2.755
299,3.085,2.86
300,3.115,2.815
301,3.095,2.845
302,3.095,2.845
303,3.075,2.875
304,3.065,2.89
305,3.115,2.815
306,3.115,2.815
307,3.115,2.815
308,3.085,2.86
309,3.045,2.92
310,3.125,2.8
311,3.145,2.77
312,3.075,2.875
313,3.065,2.89
314,3.095,2.845
315,3.115,2.815
316,3.125,2.8
317,3.115,2.815
318,3.085,2.86
319,3.075,2.875
320,3.115,2.815
321,3.095,2.845
322,3.085,2.86
323,3.115,2.815
324,3.165,2.74
325,3.045,2.92
326,3.095,2.845
327,3.085,2.86
328,3.085,2.86
329,3.135,2.785
330,3.045,2.92
331,3.085,2.86
332,3.105,2.83
333,3.065,2.89
334,3.085,2.86
335,3.065,2.89
336,3.125,2.8
337,3.075,2.875
338,3.105,2.83
339,3.045,2.92
340,3.065,2.89
341,3.085,2.86
342,3.055,2.905
343,3.095,2.845
344,3.045,2.92
345,3.095,2.845
346,3.135,2.785
347,3.055,2.905
348,3.045,2.92
349,3.085,2.86
350,3.03,2.93
351,3.045,2.92
352,3.065,2.89
353,3.075,2.875
354,3.055,2.905
355,3.095,2.845
356,3.065,2.89
357,3.08,2.855
358,3.035,2.935
359,3.075,2.875
360,3.065,2.89
361,3.035,2.935
362,3.055,2.905
363,3.0,2.975
364,3.095,2.845
365,3.065,2.89
366,3.055,2.905
367,3.065,2.89
368,3.055,2.905
369,3.085,2.86
370,3.035,2.935
371,3.085,2.86
372,3.035,2.935
373,3.035,2.935
374,3.035,2.935
375,3.045,2.92
376,3.045,2.92
377,3.045,2.92
378,3.115,2.815
379,3.085,2.86
380,3.085,2.86
381,3.025,2.95
382,3.095,2.845
383,3.035,2.935
384,3.055,2.905
385,3.055,2.905
386,3.035,2.935
387,3.075,2.875
388,3.035,2.935
389,3.055,2.905
390,3.055,2.905
391,3.025,2.95
392,3.055,2.905
393,3.055,2.905
394,3.04,2.915
395,3.065,2.89
396,3.055,2.905
397,3.025,2.95
