,NeuralAgent_Student1_200aAgent_rng,Student1_200aAgent
0,1.53,2.33
1,1.405,2.68
2,1.52,3.12
3,1.46,3.285
4,1.745,3.02
5,1.77,3.145
6,1.945,3.02
7,1.915,3.165
8,2.3,2.95
9,2.235,3.085
10,2.125,3.2
11,2.175,3.125
12,2.655,3.155
13,2.45,3.2
14,2.57,3.12
15,2.33,3.155
16,2.545,3.07
17,2.54,2.865
18,2.525,3.05
19,2.58,3.08
20,2.36,3.085
21,2.29,3.19
22,2.585,3.085
23,2.62,2.97
24,2.635,2.935
25,2.775,3.0
26,2.405,2.93
27,2.63,2.905
28,2.64,2.915
29,2.66,2.86
30,2.745,2.845
31,2.675,2.8
32,2.275,2.95
33,3.0,3.0
34,3.0,3.0
35,1.23,3.08
36,1.215,3.34
37,1.805,2.98
38,2.31,2.81
39,2.54,2.915
40,2.76,2.81
41,2.78,2.755
42,2.815,2.665
43,2.66,2.51
44,2.675,2.45
45,2.64,2.54
46,2.775,2.8
47,2.795,2.745
48,2.42,2.445
49,2.845,2.82
50,2.795,2.745
51,2.91,2.96
52,2.895,3.02
53,2.8,2.725
54,2.815,2.665
55,2.655,2.505
56,2.71,2.71
57,2.505,2.63
58,2.6,2.725
59,2.375,2.625
60,2.38,2.63
61,2.09,2.59
62,2.07,2.67
63,1.48,1.83
64,1.42,2.145
65,1.445,1.895
66,1.41,2.385
67,2.005,2.28
68,2.205,2.18
69,2.245,2.07
70,2.015,2.265
71,2.19,2.215
72,2.34,2.24
73,2.34,2.24
74,2.34,2.24
75,2.325,2.3
76,2.34,2.24
77,2.34,2.24
78,2.32,2.32
79,2.34,2.24
80,2.33,2.28
81,2.35,2.2
82,2.355,2.18
83,2.355,2.18
84,2.355,2.18
85,2.355,2.18
86,2.175,2.275
87,2.36,2.16
88,2.18,2.255
89,2.37,2.145
90,2.37,2.145
91,2.22,2.12
92,2.365,2.165
93,2.09,1.99
94,2.075,2.025
95,2.23,2.08
96,2.23,2.08
97,2.085,2.01
98,2.215,2.165
99,2.365,2.165
100,2.23,2.08
101,2.23,2.08
102,2.23,2.105
103,2.365,2.165
104,2.235,2.06
105,2.235,2.06
106,2.23,2.08
107,2.37,2.145
108,2.235,2.06
109,2.37,2.145
110,2.37,2.145
111,2.1,1.975
112,2.225,2.1
113,2.06,2.085
114,2.185,2.235
115,2.07,2.07
116,2.06,2.11
117,1.915,1.99
118,2.06,2.11
119,2.085,2.01
120,2.37,2.145
121,2.035,2.21
122,2.06,2.11
123,2.22,2.145
124,2.23,2.13
125,2.235,2.085
126,2.21,2.16
127,2.235,2.085
128,2.23,2.105
129,2.235,2.085
130,2.235,2.085
131,2.06,2.11
132,2.22,2.145
133,2.235,2.085
134,2.235,2.085
135,2.045,2.17
136,2.235,2.085
137,2.055,2.13
138,2.065,2.09
139,2.235,2.085
140,2.045,2.145
141,2.235,2.085
142,2.04,2.165
143,2.045,2.145
144,2.195,2.22
145,2.055,2.105
146,2.06,2.11
147,2.08,2.03
148,2.055,2.13
149,2.07,2.045
150,2.05,2.15
151,2.065,2.09
152,2.195,2.22
153,2.075,2.05
154,2.37,2.145
155,2.08,2.08
156,2.065,2.09
157,1.92,1.97
158,2.37,2.145
159,2.195,2.22
160,2.18,2.28
161,2.225,2.1
162,2.23,2.08
163,2.18,2.28
164,1.945,1.845
165,2.37,2.145
166,1.735,1.91
167,1.745,1.895
168,2.1,1.95
169,1.92,1.945
170,1.525,1.925
171,2.225,2.125
172,2.06,2.085
173,2.09,1.99
174,2.085,2.01
175,2.2,2.2
176,2.2,2.2
177,2.085,2.01
178,2.38,2.105
179,2.09,1.99
180,2.355,2.18
181,2.38,2.105
182,2.355,2.18
183,2.365,2.165
184,2.365,2.165
185,2.38,2.105
186,2.09,1.99
187,1.92,1.945
188,1.915,1.965
189,1.93,1.93
190,2.22,2.12
191,2.215,2.14
192,2.365,2.165
193,2.195,2.22
194,2.37,2.145
195,2.38,2.105
196,2.195,2.22
197,2.37,2.145
198,2.38,2.105
199,2.38,2.105
200,2.37,2.145
201,2.38,2.105
202,2.37,2.145
203,2.22,2.12
204,2.215,2.14
205,2.22,2.12
206,2.23,2.08
207,2.235,2.06
208,2.23,2.08
209,2.23,2.08
210,2.08,2.005
211,2.07,2.045
212,2.23,2.08
213,2.225,2.1
214,2.23,2.08
215,2.23,2.08
216,2.05,2.125
217,2.24,2.065
218,2.23,2.08
219,2.24,2.04
220,2.065,2.09
221,2.03,2.205
222,2.035,2.185
223,2.23,2.08
224,2.25,2.025
225,2.075,2.05
226,2.23,2.08
227,2.065,2.09
228,2.065,2.09
229,2.23,2.08
230,2.23,2.08
231,2.23,2.08
232,2.035,2.185
233,2.23,2.08
234,2.225,2.1
235,2.24,2.04
236,2.23,2.08
237,2.23,2.08
238,2.24,2.065
239,2.23,2.08
240,2.225,2.1
241,2.24,2.04
242,2.055,2.13
243,2.24,2.065
244,2.22,2.12
245,2.05,2.15
246,2.25,2.025
247,2.045,2.145
248,2.045,2.17
249,2.035,2.185
250,2.235,2.085
251,1.87,2.145
252,2.23,2.08
253,2.06,2.11
254,2.06,2.11
255,2.075,2.05
256,2.43,2.43
257,2.25,2.025
258,2.19,2.24
259,2.23,2.08
260,2.435,2.41
261,2.28,2.455
262,2.37,2.145
263,2.195,2.22
264,2.195,2.22
265,2.365,2.165
266,2.38,2.105
267,2.375,2.125
268,2.37,2.145
269,2.055,2.13
270,2.2,2.2
271,2.375,2.125
272,2.055,2.13
273,2.05,2.125
274,2.075,2.05
275,1.72,2.02
276,2.055,2.13
277,2.04,2.165
278,2.045,2.145
279,2.085,2.01
280,2.05,2.125
281,2.075,2.025
282,2.095,1.945
283,2.06,2.085
284,2.085,2.01
285,2.045,2.145
286,2.07,2.045
287,2.06,2.085
288,2.055,2.105
289,2.065,2.065
290,2.06,2.11
291,2.06,2.11
292,2.06,2.085
293,2.215,2.14
294,1.88,2.08
295,1.88,2.08
296,2.24,2.04
297,1.505,2.005
298,1.505,1.98
299,1.505,1.98
300,1.525,2.0
301,2.225,2.1
302,2.225,2.1
303,2.22,2.12
304,1.69,2.065
305,2.23,2.08
306,2.21,2.16
307,2.21,2.16
308,2.215,2.14
309,2.21,2.16
310,2.21,2.16
311,2.385,2.085
312,2.38,2.105
313,2.375,2.125
314,2.36,2.135
315,2.38,2.105
316,2.36,2.135
317,2.235,2.085
318,2.38,2.105
319,2.085,2.01
320,2.36,2.185
321,2.36,2.185
322,2.205,2.18
323,2.375,2.125
324,2.205,2.18
325,2.375,2.125
326,2.205,2.18
327,1.84,2.24
328,2.205,2.18
329,2.46,2.335
330,2.355,2.205
331,2.46,2.335
332,1.645,2.245
333,2.2,2.2
334,2.355,2.205
335,1.89,2.065
336,2.365,2.165
337,2.365,2.165
338,2.365,2.165
339,1.895,2.045
340,2.235,2.085
341,1.88,2.105
342,2.37,2.145
343,2.055,2.105
344,2.385,2.11
345,2.045,2.17
346,2.385,2.11
347,1.685,2.11
348,2.38,2.13
349,2.065,2.09
350,2.055,2.13
351,2.05,2.125
352,2.055,2.13
353,1.69,2.09
354,1.69,2.09
355,2.385,2.11
356,2.38,2.13
357,1.88,2.105
358,1.89,2.09
359,1.645,2.245
360,2.075,2.05
361,1.675,2.15
362,1.89,2.09
363,2.385,2.11
364,1.875,2.125
365,1.875,2.125
366,1.895,2.045
367,2.46,2.335
368,2.455,2.355
369,2.455,2.355
370,2.455,2.355
371,1.875,2.125
372,2.055,2.105
373,1.88,2.105
374,2.05,2.125
375,2.23,2.08
376,2.37,2.17
377,1.9,2.0
378,2.08,2.03
379,2.24,2.04
380,2.37,2.17
381,2.375,2.125
382,2.045,2.145
383,2.055,2.13
384,2.185,2.235
385,1.65,2.175
386,2.06,2.11
387,1.665,2.19
388,1.675,2.175
389,1.685,2.135
390,1.67,2.17
391,1.68,2.155
392,1.685,2.135
393,1.68,2.155
394,1.685,2.135
395,1.745,1.895
396,2.245,2.045
397,2.21,2.185
398,2.245,2.045
399,2.22,2.12
400,2.22,2.12
401,1.68,2.155
402,1.665,2.165
403,2.225,2.1
404,1.73,1.955
405,1.96,1.835
406,1.685,2.135
407,1.66,2.185
408,2.09,2.015
409,2.215,2.115
410,1.715,2.04
411,1.98,1.755
412,2.05,2.15
413,2.06,2.085
414,2.05,2.15
415,2.485,2.235
416,2.22,2.17
417,2.255,2.03
418,2.4,2.05
419,2.275,1.95
420,2.4,2.05
421,2.4,2.05
422,2.4,2.05
423,2.4,2.05
424,2.26,2.01
425,2.245,2.07
426,2.26,2.01
427,2.245,2.07
428,2.09,2.015
429,1.97,1.795
430,1.775,1.825
431,2.11,1.935
432,2.11,1.935
433,2.26,1.985
434,2.26,1.985
435,2.375,2.125
436,2.23,2.08
437,2.22,2.12
438,2.23,2.08
439,2.25,2.025
440,2.205,2.18
441,2.085,2.01
442,2.275,1.925
443,2.255,1.98
444,2.26,1.985
445,2.275,1.925
446,2.26,1.985
447,2.25,2.025
448,2.085,2.01
449,2.22,2.12
450,2.375,2.125
451,2.375,2.125
452,2.075,2.05
453,2.09,1.99
454,2.25,2.025
455,2.375,2.125
456,2.375,2.125
457,2.25,2.025
458,2.225,2.1
459,2.225,2.1
460,2.25,2.025
461,2.11,1.935
462,1.925,1.925
463,2.235,2.06
464,1.94,1.89
465,1.77,1.82
466,1.77,1.82
467,2.25,2.05
468,2.25,2.025
469,2.24,2.065
470,2.245,2.045
471,2.24,2.065
472,2.245,2.045
473,2.375,2.125
474,2.22,2.12
475,2.375,2.125
476,2.26,2.01
477,2.26,2.01
478,2.375,2.125
479,2.36,2.185
480,2.375,2.125
481,2.375,2.125
482,2.065,2.115
483,2.1,2.0
484,2.23,2.105
485,2.1,2.0
486,2.235,2.06
487,2.26,1.985
488,2.37,2.145
489,2.26,1.985
490,2.235,2.06
491,2.24,2.04
492,2.045,2.145
493,2.26,1.985
494,2.08,2.03
495,2.26,1.985
496,2.08,2.03
497,2.095,1.97
498,2.26,1.985
499,1.905,2.005
500,2.08,2.03
501,2.08,2.03
502,2.07,2.045
503,2.07,2.07
504,2.07,2.045
505,2.235,2.085
506,2.075,2.05
507,2.26,1.985
508,2.26,1.985
509,2.26,1.985
510,2.26,1.985
511,2.26,1.985
512,2.245,2.045
513,2.26,1.985
514,2.26,1.985
515,2.26,1.985
516,1.94,1.915
517,2.26,1.985
518,1.92,1.97
519,2.095,1.97
520,1.905,2.005
521,2.25,2.0
522,2.23,2.055
523,2.08,2.005
524,1.875,2.1
525,1.89,2.065
526,2.24,2.04
527,2.235,2.06
528,2.37,2.145
529,1.895,2.045
530,2.085,1.985
531,2.11,1.935
532,2.22,2.095
533,2.23,2.105
534,1.91,1.985
535,2.215,2.14
536,1.925,1.95
537,2.065,2.09
538,1.915,1.99
539,1.945,1.895
540,2.215,2.14
541,1.915,1.99
542,1.92,1.97
543,2.235,2.06
544,2.095,1.97
545,2.1,1.95
546,2.21,2.135
547,1.95,1.875
548,2.095,1.97
549,1.73,1.955
550,2.215,2.14
551,2.215,2.14
552,1.905,2.005
553,2.23,2.105
554,2.115,1.915
555,1.755,1.88
556,1.95,1.875
557,1.765,1.84
558,1.945,1.895
559,2.375,2.125
560,2.24,2.065
561,2.355,2.18
562,2.385,2.085
563,2.095,1.995
564,2.085,2.01
565,2.1,1.975
566,2.085,2.01
567,2.075,2.075
568,2.375,2.125
569,2.375,2.125
570,2.08,2.055
571,2.37,2.145
572,2.375,2.125
573,2.085,2.035
574,2.235,2.06
575,2.225,2.075
576,2.23,2.105
577,2.225,2.1
578,2.235,2.085
579,2.23,2.105
580,2.105,1.955
581,2.1,1.95
582,2.235,2.085
583,2.11,1.935
584,2.11,1.935
585,2.23,2.105
586,2.06,2.085
587,2.245,2.02
588,1.91,1.985
589,2.07,2.07
590,2.225,2.1
591,2.235,2.085
592,2.215,2.14
593,2.22,2.12
594,1.9,2.025
595,1.905,2.005
596,1.905,2.005
597,1.905,2.005
598,1.905,2.005
599,2.235,2.085
600,1.915,1.99
601,1.9,2.025
602,2.095,1.97
603,1.92,1.97
604,2.095,1.97
