,NeuralAgentOpMe_Student1_200mAgent_rng,Student1_200mAgent
0,3.71,1.935
1,3.38,2.005
2,0.89,2.49
3,3.71,1.935
4,3.53,2.18
5,3.61,2.085
6,3.515,2.215
7,3.42,2.37
8,3.44,2.34
9,3.38,2.43
10,3.45,2.325
11,3.4,2.4
12,3.36,2.46
13,3.345,2.47
14,3.365,2.44
15,3.29,2.565
16,3.27,2.595
17,3.3,2.55
18,3.28,2.58
19,3.25,2.625
20,3.23,2.655
21,3.17,2.745
22,3.185,2.71
23,3.215,2.665
24,3.16,2.76
25,3.15,2.775
26,0.74,2.19
27,3.075,2.85
28,3.11,2.835
29,3.105,2.83
30,3.16,2.76
31,3.085,2.86
32,3.09,2.865
33,0.75,2.275
34,3.09,2.865
35,3.14,2.79
36,3.13,2.805
37,3.165,2.74
38,0.66,2.635
39,3.08,2.88
40,3.16,2.76
41,0.565,2.89
42,3.095,2.845
43,2.89,2.865
44,3.08,2.88
45,2.675,2.925
46,2.795,2.92
47,2.77,2.945
48,2.75,2.95
49,3.045,2.92
50,3.035,2.935
51,2.675,2.975
52,3.03,2.955
53,2.735,2.96
54,3.055,2.905
55,3.03,2.955
56,2.97,2.92
57,2.525,2.95
58,3.05,2.925
59,3.035,2.935
60,3.0,2.925
61,0.625,2.775
62,3.05,2.925
63,0.575,2.85
64,3.01,2.935
65,3.04,2.94
66,3.19,2.715
67,3.17,2.745
68,0.57,2.87
69,0.63,2.88
70,0.64,2.84
71,2.99,2.315
72,3.61,2.085
73,0.665,2.89
74,3.05,2.225
75,0.645,2.945
76,0.565,2.89
77,0.665,2.815
78,0.595,2.895
79,3.07,2.195
80,0.6,2.875
81,0.6,2.875
82,3.65,2.025
83,3.28,2.13
84,0.605,2.855
85,0.575,2.85
86,0.605,2.855
87,0.67,2.87
88,0.6,2.875
89,0.605,2.855
90,0.615,2.815
91,0.605,2.855
92,0.615,2.815
93,3.66,2.01
94,0.61,2.835
95,0.605,2.855
96,0.605,2.855
97,0.605,2.73
98,0.605,2.855
99,0.585,2.81
100,0.605,2.855
101,0.635,2.86
102,0.605,2.855
103,0.575,2.85
104,0.6,2.875
105,0.605,2.855
106,0.575,2.85
107,0.6,2.875
108,0.575,2.85
109,0.605,2.855
110,0.575,2.85
111,0.59,2.865
112,0.605,2.855
113,0.64,2.84
114,0.575,2.85
115,0.61,2.835
116,0.645,2.82
117,0.575,2.85
118,0.59,2.79
119,0.605,2.855
120,0.575,2.85
121,0.64,2.84
