,NeuralAgentOpMe_Student21_200cAgent_rng,Student21_200cAgent
0,0.46,3.16
1,0.375,3.5
2,0.4,3.45
3,0.425,3.35
4,0.46,3.51
5,0.41,3.36
6,0.395,3.42
7,0.46,3.21
8,0.43,3.28
9,0.31,3.76
10,0.37,3.52
11,0.35,3.6
12,0.41,3.485
13,0.45,3.325
14,0.375,3.5
15,0.46,3.435
16,0.395,3.47
17,0.385,3.51
18,0.46,3.285
19,0.41,3.36
20,0.375,3.625
21,0.38,3.53
22,0.35,3.6
23,0.41,3.36
24,0.355,3.58
25,0.33,3.73
26,0.32,3.72
27,0.36,3.56
28,0.395,3.545
29,0.29,3.84
30,0.415,3.465
31,0.35,3.6
32,0.34,3.64
33,0.325,3.7
34,0.33,3.68
35,0.335,3.71
36,0.34,3.64
37,0.325,3.7
38,0.355,3.63
39,0.405,3.505
40,0.34,3.64
41,0.35,3.65
42,0.29,3.84
43,0.305,3.78
44,0.33,3.68
45,0.35,3.65
46,0.335,3.66
47,0.385,3.585
48,0.28,3.88
49,0.275,3.9
50,0.24,4.09
51,0.29,3.84
52,0.53,3.605
53,0.36,3.56
54,0.32,3.72
55,0.285,3.86
56,0.26,3.96
57,0.27,3.92
58,0.285,3.86
59,0.33,3.73
60,0.35,3.6
61,0.27,3.92
62,0.3,3.8
63,0.255,4.03
64,0.285,3.86
65,0.225,4.1
66,0.235,4.06
67,0.295,3.945
68,0.21,4.16
69,0.235,4.11
70,0.26,3.96
71,0.235,4.06
72,0.265,4.065
73,0.37,3.72
74,0.285,3.86
75,0.225,4.1
76,0.195,4.22
77,0.295,3.87
78,0.23,4.08
79,0.185,4.26
80,0.205,4.23
81,0.275,4.025
82,0.245,4.02
83,0.185,4.26
84,0.295,3.87
85,0.185,4.31
86,0.195,4.22
87,0.195,4.27
88,0.16,4.36
89,0.205,4.18
90,0.245,4.02
91,0.21,4.16
92,0.225,4.1
93,0.185,4.31
94,0.165,4.34
95,0.225,4.1
96,0.2,4.4
97,0.205,4.18
98,0.11,4.56
99,0.15,4.45
100,0.17,4.32
101,0.155,4.38
102,0.285,3.86
103,0.09,4.64
104,0.17,4.37
105,0.185,4.26
106,0.15,4.4
107,0.155,4.38
108,0.11,4.56
109,0.165,4.39
110,0.12,4.52
111,0.105,4.58
112,0.265,4.215
113,0.125,4.5
114,0.08,4.68
115,0.075,4.7
116,0.135,4.46
117,0.05,4.8
118,0.125,4.5
119,0.13,4.53
120,0.12,4.52
121,0.1,4.6
122,0.085,4.66
123,0.11,4.685
124,0.095,4.62
125,0.115,4.54
126,0.09,4.64
127,0.07,4.72
128,0.105,4.58
129,0.135,4.66
130,0.075,4.7
131,0.105,4.58
132,0.08,4.68
133,0.07,4.72
134,0.05,4.8
135,0.075,4.7
136,0.06,4.81
137,0.11,4.76
138,0.06,4.81
139,0.035,4.86
140,0.05,4.8
141,0.03,4.88
142,0.13,4.68
143,0.035,4.86
144,0.035,4.91
145,0.035,4.86
146,0.04,4.89
147,0.045,4.82
148,0.025,4.9
149,0.055,4.83
150,0.03,4.93
151,0.08,4.68
152,0.05,4.925
153,0.025,4.9
154,0.005,4.98
155,0.005,4.98
156,0.045,4.87
157,0.02,4.97
