,NeuralAgentOpMe_Student13_200bAgent_rng,Student13_200bAgent
0,3.55,1.95
1,3.635,1.86
2,0.44,3.365
3,2.98,2.18
4,3.65,1.8
5,1.745,2.62
6,2.465,2.29
7,2.01,2.435
8,3.18,2.38
9,0.675,2.925
10,0.465,3.14
11,2.57,2.745
12,1.455,3.005
13,2.285,2.835
14,2.835,2.76
15,3.19,2.615
16,0.34,3.64
17,2.94,2.815
18,1.98,3.155
19,0.35,3.6
20,2.29,3.015
21,1.44,3.115
22,2.155,3.03
23,1.76,2.985
24,2.97,2.97
25,3.01,2.985
26,2.535,2.91
27,1.385,2.66
28,2.715,2.94
29,0.625,2.5
30,2.27,2.845
31,1.6,2.65
32,1.315,2.54
33,2.825,2.95
34,0.65,2.4
35,0.655,2.38
36,2.515,2.815
37,3.0,3.0
38,2.775,2.875
39,2.27,2.67
40,2.2,2.675
41,1.385,2.31
42,0.745,2.02
43,2.44,2.765
44,1.89,2.515
45,2.25,2.65
46,2.8,2.9
47,0.975,2.175
48,1.64,2.49
49,1.935,2.51
50,1.63,2.405
51,1.22,2.245
52,2.085,2.535
53,1.725,2.375
54,2.62,2.795
55,1.0,2.0
56,2.69,2.815
57,2.04,2.515
58,2.535,2.785
59,1.91,2.485
60,1.835,2.485
61,2.84,2.915
62,1.175,2.15
63,2.99,2.99
64,0.73,2.08
65,2.785,2.91
66,1.78,2.455
67,2.855,2.905
68,2.575,2.8
69,1.01,2.06
70,0.735,2.06
71,0.77,1.92
72,2.87,2.895
73,1.09,2.115
74,2.82,2.87
75,2.64,2.765
76,2.265,2.59
77,1.55,2.2
78,1.625,2.25
79,2.77,2.845
80,0.775,1.9
81,2.21,2.51
82,1.38,2.205
83,2.905,2.88
84,2.26,2.635
85,2.795,2.845
86,2.475,2.75
87,2.36,2.71
88,2.765,2.865
89,2.78,2.83
90,1.57,2.47
91,0.945,2.245
92,1.855,2.53
93,2.93,2.88
94,1.345,2.495
95,2.74,2.815
96,1.66,2.485
97,1.21,2.285
98,1.96,2.585
99,1.795,2.495
100,2.615,2.765
101,1.755,2.555
102,2.26,2.685
103,2.455,2.73
104,0.875,2.275
105,0.68,2.28
106,2.35,2.7
107,2.935,2.885
108,1.535,2.46
109,2.415,2.74
110,0.675,2.3
111,2.81,2.81
112,2.26,2.635
113,2.81,2.835
114,2.36,2.685
115,0.865,2.115
116,2.97,2.87
117,1.8,2.5
118,2.42,2.745
119,0.655,2.38
120,1.47,2.42
121,2.49,2.69
122,1.825,2.525
123,2.115,2.59
124,0.995,2.445
125,1.605,2.555
126,3.01,2.985
127,1.365,2.49
128,2.735,2.835
129,2.725,2.8
130,3.005,2.88
131,1.68,2.58
132,1.275,2.3
133,2.895,2.845
134,2.58,2.755
135,0.665,2.34
136,0.69,2.24
137,0.655,2.38
138,3.035,2.91
139,2.46,2.685
140,2.8,2.825
141,2.225,2.675
142,3.0,3.0
