,NeuralAgent_BattleRoyal,AlwaysDefectAgent,RandomChoiceAgent,Student10_200mAgent,Student11_200mAgent,Student13_200aAgent,Student13_200bAgent,Student13_200cAgent,Student13_200mAgent,Student16_200bAgent,Student16_200cAgent,Student17_200aAgent,Student17_200bAgent,Student17_200mAgent,Student19_200aAgent,Student19_200bAgent,Student19_200cAgent,Student19_200mAgent,Student1_200aAgent,Student1_200bAgent,Student1_200cAgent,Student1_200mAgent,Student21_200aAgent,Student21_200cAgent,Student22_200mAgent,Student23_200mAgent,Student24_200bAgent,Student24_200cAgent,Student24_200mAgent,Student26_200bAgent,Student26_200cAgent,Student26_200mAgent,Student2_200aAgent,Student2_200cAgent,Student3_200aAgent,Student3_200bAgent,Student4_200aAgent,Student5_200aAgent,Student5_200bAgent,Student5_200cAgent,Student5_200mAgent,Student7_200aAgent,Student7_200bAgent,Student7_200mAgent,TitF2tatAgent,TitFTatAgent
0,2.0553333333333335,2.103111111111111,1.7725555555555557,1.833,1.951111111111111,1.718888888888889,1.825888888888889,2.0487777777777776,2.0704444444444445,1.8333333333333333,1.7676666666666667,1.8814444444444445,1.8937777777777778,2.069777777777778,1.953,1.7356666666666667,1.644111111111111,1.6114444444444445,2.138333333333333,1.8254444444444444,1.891888888888889,1.8297777777777777,2.116222222222222,1.8454444444444444,2.102333333333333,1.8835555555555556,2.0676666666666668,2.064888888888889,1.7065555555555556,2.093888888888889,2.152111111111111,2.114777777777778,2.2655555555555558,0.04766666666666667,0.5644444444444444,2.086333333333333,1.6256666666666666,1.7916666666666667,1.6413333333333333,2.102333333333333,1.7652222222222222,2.046222222222222,2.180888888888889,2.1715555555555555,2.042666666666667,2.158333333333333
1,2.081888888888889,2.072111111111111,1.720888888888889,1.791111111111111,1.8982222222222223,1.6552222222222222,1.7795555555555556,2.0024444444444445,2.0275555555555558,1.8513333333333333,1.7636666666666667,1.895,1.8963333333333334,2.0585555555555555,1.9227777777777777,1.6533333333333333,1.6104444444444443,1.6068888888888888,2.026222222222222,1.8342222222222222,1.9405555555555556,1.8352222222222223,2.087111111111111,1.8276666666666668,2.067111111111111,1.8542222222222222,2.063888888888889,2.059888888888889,1.7061111111111111,2.0655555555555556,2.1092222222222223,2.0607777777777776,2.2257777777777776,0.046,0.5848888888888889,2.0704444444444445,1.5557777777777777,1.7355555555555555,1.649,2.1444444444444444,1.7004444444444444,2.0077777777777777,2.1215555555555556,2.127111111111111,1.981111111111111,2.1154444444444445
2,2.125777777777778,2.0764444444444443,1.7273333333333334,1.8235555555555556,1.9002222222222223,1.6393333333333333,1.7843333333333333,2.016111111111111,2.0264444444444445,1.8543333333333334,1.7483333333333333,1.883888888888889,1.892111111111111,2.0576666666666665,1.9325555555555556,1.6631111111111112,1.6102222222222222,1.604111111111111,2.051888888888889,1.8374444444444444,1.885,1.8327777777777778,2.0905555555555555,1.8332222222222223,2.0596666666666668,1.8532222222222223,2.060111111111111,2.0572222222222223,1.7017777777777778,2.060888888888889,2.109777777777778,2.0604444444444443,2.240222222222222,0.04633333333333333,0.5767777777777777,2.0593333333333335,1.5757777777777777,1.7315555555555555,1.6251111111111112,2.0993333333333335,1.706,2.0122222222222224,2.1433333333333335,2.1293333333333333,2.0172222222222222,2.1194444444444445
3,2.078666666666667,2.069111111111111,1.6787777777777777,1.7958888888888889,1.905,1.6571111111111112,1.7983333333333333,2.013888888888889,2.0317777777777777,1.8515555555555556,1.7904444444444445,1.8671111111111112,1.8956666666666666,2.0614444444444446,1.8904444444444444,1.6835555555555555,1.600111111111111,1.6076666666666666,2.0695555555555556,1.8331111111111111,1.920111111111111,1.8313333333333333,2.073888888888889,1.8425555555555555,2.0668888888888888,1.8552222222222223,2.062333333333333,2.0602222222222224,1.7064444444444444,2.068111111111111,2.1066666666666665,2.0533333333333332,2.1625555555555556,0.047,0.5623333333333334,2.0644444444444443,1.566888888888889,1.7366666666666666,1.7152222222222222,2.1372222222222224,1.6642222222222223,2.004888888888889,2.0941111111111113,2.1216666666666666,2.002,2.1185555555555555
4,2.103,2.067111111111111,1.7474444444444444,1.8631111111111112,1.8976666666666666,1.6362222222222222,1.7885555555555555,2.009,2.028,1.8603333333333334,1.8082222222222222,1.8844444444444444,1.8924444444444444,2.0526666666666666,1.9246666666666667,1.6597777777777778,1.6002222222222222,1.6007777777777779,2.2305555555555556,1.8391111111111111,1.898,1.8444444444444446,2.091,1.8288888888888888,2.0727777777777776,1.8544444444444443,2.063111111111111,2.063222222222222,1.7081111111111111,2.063222222222222,2.110333333333333,2.0567777777777776,2.228,0.04633333333333333,0.586,2.061111111111111,1.568,1.741111111111111,1.6013333333333333,2.1544444444444446,1.7104444444444444,2.0424444444444445,2.164111111111111,2.1886666666666668,2.0164444444444443,2.1221111111111113
5,2.074,2.0675555555555554,1.7117777777777778,1.8567777777777779,1.8956666666666666,1.6606666666666667,1.79,2.0063333333333335,2.023888888888889,1.8395555555555556,1.7585555555555556,1.8903333333333334,1.8922222222222222,2.066666666666667,1.8863333333333334,1.6436666666666666,1.6077777777777778,1.6036666666666666,2.0374444444444446,1.8397777777777777,1.9392222222222222,1.8387777777777778,2.0674444444444444,1.8303333333333334,2.066777777777778,1.8494444444444444,2.051222222222222,2.0596666666666668,1.7067777777777777,2.064,2.1114444444444445,2.0614444444444446,2.2224444444444442,0.04633333333333333,0.5708888888888889,2.063,1.576,1.7402222222222221,1.6464444444444444,2.0927777777777776,1.7181111111111111,2.0028888888888887,2.121111111111111,2.116888888888889,2.021888888888889,2.122777777777778
6,2.1002222222222224,2.064,1.7133333333333334,1.8375555555555556,1.8974444444444445,1.6508888888888889,1.783111111111111,1.9998888888888888,2.0236666666666667,1.8492222222222223,1.7552222222222222,1.8867777777777779,1.8846666666666667,2.0475555555555554,1.916111111111111,1.6731111111111112,1.612,1.604,2.028,1.8426666666666667,1.879,1.8372222222222223,2.0906666666666665,1.8306666666666667,2.0674444444444444,1.8563333333333334,2.0604444444444443,2.0593333333333335,1.7047777777777777,2.065,2.1085555555555557,2.058666666666667,2.228666666666667,0.047,0.5692222222222222,2.0566666666666666,1.5753333333333333,1.7407777777777778,1.6391111111111112,2.107222222222222,1.708,2.0075555555555558,2.1445555555555558,2.1222222222222222,2.0104444444444445,2.1237777777777778
7,2.1005555555555557,2.0674444444444444,1.6835555555555555,1.8386666666666667,1.8948888888888888,1.6582222222222223,1.7983333333333333,2.0028888888888887,2.0243333333333333,1.8552222222222223,1.7567777777777778,1.8837777777777778,1.893888888888889,2.0527777777777776,1.9192222222222222,1.6515555555555557,1.6097777777777778,1.603888888888889,2.036,1.840111111111111,1.9498888888888888,1.8357777777777777,2.0885555555555557,1.8545555555555555,2.0734444444444446,1.8497777777777777,2.054777777777778,2.0615555555555556,1.7001111111111111,2.0606666666666666,2.1106666666666665,2.0544444444444445,2.1502222222222223,0.04566666666666667,0.5514444444444444,2.0584444444444445,1.5714444444444444,1.7452222222222222,1.6345555555555555,2.095,1.7067777777777777,2.012888888888889,2.137888888888889,2.1164444444444444,2.014111111111111,2.1214444444444442
8,2.1165555555555557,2.065888888888889,1.6755555555555555,1.8207777777777778,1.8925555555555555,1.6556666666666666,1.8056666666666668,2.035,2.026777777777778,1.8448888888888888,1.7505555555555556,1.872111111111111,1.8888888888888888,2.0575555555555556,1.896,1.6574444444444445,1.6082222222222222,1.6036666666666666,2.0805555555555557,1.8345555555555555,1.836,1.8302222222222222,2.0717777777777777,1.8511111111111112,2.0637777777777777,1.8567777777777779,2.043888888888889,2.0564444444444443,1.7024444444444444,2.0616666666666665,2.1065555555555555,2.0594444444444444,2.1505555555555556,0.04666666666666667,0.5712222222222222,2.047222222222222,1.5743333333333334,1.7473333333333334,1.6987777777777777,2.144,1.7178888888888888,2.0094444444444446,2.1086666666666667,2.129888888888889,2.0023333333333335,2.1287777777777777
9,2.1133333333333333,2.0683333333333334,1.6978888888888888,1.8577777777777778,1.9016666666666666,1.657,1.7854444444444444,2.0073333333333334,2.0295555555555556,1.8467777777777779,1.8125555555555555,1.8862222222222222,1.891888888888889,2.061111111111111,1.9216666666666666,1.65,1.6026666666666667,1.6055555555555556,2.2271111111111113,1.8427777777777778,1.8763333333333334,1.8413333333333333,2.0887777777777776,1.8285555555555555,2.0722222222222224,1.8567777777777779,2.0575555555555556,2.059222222222222,1.7101111111111111,2.060111111111111,2.109888888888889,2.059888888888889,2.2497777777777777,0.046,0.5768888888888889,2.060111111111111,1.5857777777777777,1.7425555555555556,1.7037777777777778,2.147111111111111,1.7154444444444445,2.049,2.1422222222222222,2.1604444444444444,2.0275555555555558,2.124111111111111
