,NeuralAgent_Student24_200mAgent_rng,Student24_200mAgent
0,4.965,0.04
1,4.07,1.37
2,4.08,1.355
3,3.94,1.565
4,4.01,1.46
5,3.975,1.525
6,3.99,1.49
7,4.05,1.4
8,3.915,1.615
9,4.07,1.37
10,4.095,1.345
11,3.965,1.54
12,4.0,1.475
13,3.94,1.565
14,3.98,1.505
15,4.015,1.465
16,4.125,1.3
17,4.06,1.385
18,4.0,1.475
19,4.06,1.385
20,4.09,1.34
21,3.9,1.625
22,4.03,1.43
23,4.0,1.475
24,3.81,1.76
25,4.07,1.37
26,3.97,1.52
27,4.02,1.445
28,4.175,1.225
29,4.04,1.415
30,4.01,1.46
31,3.96,1.535
32,3.88,1.655
33,3.985,1.51
34,4.06,1.385
35,4.17,1.22
36,4.11,1.31
37,4.01,1.46
38,4.05,1.4
39,4.09,1.34
40,4.07,1.37
41,3.975,1.525
42,4.015,1.465
43,4.04,1.415
44,4.2,1.175
45,4.14,1.265
46,4.085,1.36
47,4.16,1.235
48,4.05,1.4
49,4.085,1.36
50,4.08,1.355
51,4.185,1.21
52,4.13,1.28
53,4.2,1.175
54,4.185,1.21
55,4.065,1.39
56,4.21,1.16
57,4.2,1.175
58,3.99,1.49
59,4.25,1.1
60,4.21,1.16
61,4.23,1.13
62,4.17,1.22
63,4.22,1.145
64,4.11,1.31
65,4.28,1.055
66,4.28,1.055
67,4.255,1.105
68,4.165,1.24
69,4.14,1.265
70,4.23,1.13
71,4.075,1.375
72,4.14,1.265
73,4.065,1.39
74,4.15,1.25
75,4.21,1.16
76,4.265,1.09
77,4.24,1.115
78,4.25,1.1
79,4.285,1.06
80,4.215,1.165
81,4.115,1.315
82,4.41,0.86
83,4.235,1.135
84,4.26,1.085
85,4.2,1.175
86,4.255,1.105
87,4.28,1.055
88,4.28,1.055
89,4.235,1.135
90,4.23,1.13
91,4.34,0.965
92,4.21,1.16
93,4.21,1.16
94,4.27,1.07
95,4.35,0.95
96,4.3,1.025
97,4.2,1.175
98,4.42,0.845
99,4.41,0.86
100,4.19,1.19
101,4.35,0.95
102,4.225,1.15
103,4.28,1.055
104,4.41,0.86
105,4.29,1.04
106,4.25,1.1
107,4.2,1.175
108,4.38,0.905
109,4.34,0.965
110,4.35,0.95
111,4.46,0.785
112,4.33,0.98
113,4.24,1.115
114,4.15,1.25
115,4.33,0.98
116,4.39,0.89
117,4.38,0.905
118,4.41,0.86
119,4.37,0.92
120,4.33,0.98
121,4.445,0.82
122,4.44,0.815
123,4.42,0.845
124,4.42,0.845
125,4.36,0.935
126,4.31,1.01
127,4.3,1.025
128,4.41,0.86
129,4.375,0.925
130,4.42,0.845
131,4.35,0.95
132,4.37,0.92
133,4.48,0.755
134,4.46,0.785
135,4.45,0.8
136,4.41,0.86
137,4.49,0.74
138,4.44,0.815
139,4.4,0.875
140,4.46,0.785
141,4.495,0.745
142,4.52,0.695
143,4.405,0.88
144,4.58,0.605
145,4.525,0.7
146,4.44,0.815
147,4.49,0.74
148,4.435,0.835
149,4.545,0.67
150,4.46,0.785
151,4.515,0.715
152,4.51,0.71
153,4.48,0.755
154,4.525,0.7
155,4.53,0.68
156,4.46,0.785
157,4.49,0.74
158,4.48,0.755
159,4.5,0.725
160,4.64,0.515
161,4.61,0.56
162,4.57,0.62
163,4.65,0.5
164,4.5,0.725
165,4.555,0.655
166,4.48,0.755
167,4.555,0.655
168,4.5,0.725
169,4.525,0.7
170,4.54,0.665
171,4.575,0.625
172,4.61,0.56
173,4.55,0.65
174,4.55,0.65
175,4.57,0.62
176,4.6,0.575
177,4.66,0.485
178,4.54,0.665
179,4.57,0.62
180,4.6,0.575
181,4.585,0.61
182,4.63,0.53
183,4.54,0.665
184,4.52,0.695
185,4.51,0.71
186,4.45,0.8
187,4.655,0.505
188,4.565,0.64
189,4.66,0.485
190,4.51,0.71
191,4.66,0.485
192,4.64,0.515
193,4.61,0.56
194,4.79,0.29
195,4.685,0.46
196,4.595,0.595
197,4.75,0.35
198,4.55,0.65
199,4.585,0.61
200,4.64,0.515
201,4.67,0.47
202,4.63,0.53
203,4.66,0.485
204,4.635,0.535
205,4.53,0.68
206,4.73,0.38
207,4.75,0.35
208,4.65,0.5
209,4.66,0.485
210,4.69,0.44
211,4.6,0.575
212,4.64,0.515
213,4.73,0.38
214,4.77,0.32
215,4.71,0.41
216,4.63,0.53
217,4.75,0.35
218,4.64,0.515
219,4.66,0.485
220,4.68,0.455
221,4.705,0.43
222,4.735,0.385
223,4.68,0.455
224,4.78,0.305
225,4.77,0.32
226,4.74,0.365
227,4.75,0.35
228,4.76,0.335
229,4.75,0.35
230,4.63,0.53
231,4.735,0.385
232,4.79,0.29
233,4.75,0.35
234,4.68,0.455
235,4.77,0.32
236,4.71,0.41
237,4.71,0.41
238,4.75,0.35
239,4.73,0.38
240,4.69,0.44
241,4.73,0.38
242,4.73,0.38
243,4.76,0.335
244,4.72,0.395
245,4.785,0.31
246,4.68,0.455
247,4.72,0.395
248,4.78,0.305
249,4.74,0.365
